stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25,combo_26,combo_27,combo_28,combo_29,combo_30,combo_31,combo_32,combo_33,combo_34,combo_35,combo_36,combo_37,combo_38,combo_39,combo_40,combo_41,combo_42,combo_43,combo_44,combo_45,combo_46,combo_47,combo_48,combo_49,combo_50,combo_51,combo_52,combo_53,combo_54,combo_55,combo_56,combo_57,combo_58,combo_59,combo_60,combo_61,combo_62,combo_63,combo_64,combo_65,combo_66,combo_67,combo_68,combo_69,combo_70,combo_71,combo_72,combo_73,combo_74,combo_75,combo_76,combo_77,combo_78,combo_79,combo_80,combo_81,combo_82,combo_83,combo_84,combo_85,combo_86,combo_87,combo_88,combo_89,combo_90,combo_91,combo_92,combo_93,combo_94,combo_95,combo_96,combo_97,combo_98,combo_99,combo_100
trough,set001-A3_143.txt,01,34,35,35,36,36,36,36,36,36,36,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
speed,set001-A3_143.txt,01,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.69,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.69,0.69,0.69,0.65,0.65,0.65,0.65,0.65,0.69,0.69,0.69,0.69,0.69,0.65,0.65,0.65,0.65,0.69,0.69,0.69,0.69,0.69,0.69,0.65,0.65,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.65,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
distance,set001-A3_143.txt,01,15.71,16.34,16.34,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.34,16.34,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96
trough,set001-A4_179.txt,01,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
speed,set001-A4_179.txt,01,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35
distance,set001-A4_179.txt,01,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
trough,set001-A4_92.txt,01,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,67,68,68,68,68,68,68,68,68,67,67,68,68,68,68,68,68,67,67,67,67
speed,set001-A4_92.txt,01,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set001-A4_92.txt,01,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.33,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.33,38.33,38.95,38.95,38.95,38.95,38.95,38.95,38.33,38.33,38.33,38.33
trough,set001-B1_62.txt,01,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21004,21003,21003,21004,21004,21004,21004,21004,21004,21004,21003,21003,21003,21004,21004,21004,21004,21004,21003,21003,21003,21003,21003,21004,21004,21004,21004,21003,21003,21003,21003,21003,21003,21004,21004,21003,21003,21003,21003,21003,21003,21002,21000,21004,21003,21003,21003,21003,21003,21002,21002,21000,20993,21003,21003,21003,21003,21003,21002,21000,21000,20993,20986
speed,set001-B1_62.txt,01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
distance,set001-B1_62.txt,01,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13192.42,13193.04,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13193.04,13193.04,13193.04,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13192.42,13193.04,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13192.42,13191.79,13190.53,13193.04,13192.42,13192.42,13192.42,13192.42,13192.42,13191.79,13191.79,13190.53,13184.88,13192.42,13192.42,13192.42,13192.42,13192.42,13191.79,13190.53,13190.53,13184.88,13181.11
trough,set001-B3_202.txt,01,3698,3701,3706,3708,3712,3720,3721,3723,3724,3729,3701,3708,3709,3717,3720,3723,3723,3724,3729,3733,3709,3717,3720,3721,3723,3724,3729,3733,3735,3737,3719,3721,3723,3724,3728,3730,3733,3736,3742,3743,3721,3723,3724,3729,3730,3735,3737,3742,3743,3750,3723,3728,3729,3733,3735,3742,3742,3744,3750,3760,3729,3733,3735,3737,3742,3744,3750,3760,3764,3779,3733,3736,3742,3743,3746,3755,3760,3774,3789,3796,3736,3742,3744,3750,3755,3764,3779,3789,3796,3820,3742,3746,3750,3760,3764,3789,3796,3804,3820,3853
speed,set001-B3_202.txt,01,0.24,0.25,0.27,0.27,0.28,0.31,0.32,0.33,0.33,0.35,0.25,0.27,0.27,0.3,0.31,0.33,0.33,0.33,0.35,0.37,0.27,0.3,0.31,0.32,0.33,0.33,0.35,0.37,0.38,0.39,0.31,0.32,0.33,0.33,0.35,0.35,0.37,0.38,0.4,0.41,0.32,0.33,0.33,0.35,0.35,0.38,0.39,0.41,0.41,0.44,0.33,0.35,0.35,0.37,0.38,0.4,0.41,0.42,0.44,0.48,0.35,0.37,0.38,0.39,0.41,0.42,0.44,0.48,0.5,0.55,0.37,0.38,0.4,0.41,0.42,0.46,0.48,0.54,0.59,0.63,0.38,0.41,0.42,0.44,0.46,0.5,0.55,0.6,0.63,0.72,0.41,0.42,0.44,0.48,0.5,0.59,0.63,0.66,0.72,0.85
distance,set001-B3_202.txt,01,2318.43,2320.31,2323.45,2324.71,2327.22,2332.88,2333.51,2335.39,2336.02,2339.16,2320.31,2324.71,2325.34,2330.36,2332.88,2334.76,2335.39,2336.02,2339.16,2342.3,2325.34,2330.36,2332.88,2333.51,2335.39,2336.02,2339.16,2341.67,2343.56,2344.82,2332.25,2333.51,2334.76,2336.02,2338.53,2339.79,2342.3,2344.19,2347.96,2348.59,2333.51,2335.39,2336.02,2339.16,2339.79,2343.56,2344.82,2347.96,2348.59,2352.98,2335.39,2338.53,2339.16,2341.67,2343.56,2347.96,2347.96,2349.21,2352.98,2359.27,2339.16,2341.67,2343.56,2344.82,2347.96,2349.21,2352.98,2359.27,2361.78,2371.2,2342.3,2344.19,2347.96,2348.59,2350.47,2356.13,2359.27,2368.06,2377.49,2381.89,2344.19,2347.96,2349.21,2352.98,2356.13,2361.78,2371.2,2377.49,2381.89,2396.96,2347.96,2350.47,2352.98,2359.27,2361.78,2377.49,2381.89,2386.91,2396.96,2417.7
trough,set001-B3_223.txt,01,4769,4769,4769,4769,4772,4771,4771,4772,4775,4774,4770,4769,4770,4771,4770,4771,4773,4775,4774,4775,4770,4771,4770,4771,4773,4775,4774,4775,4775,4778,4771,4770,4772,4775,4774,4774,4776,4777,4777,4776,4771,4772,4775,4774,4774,4776,4778,4776,4777,4775,4773,4775,4774,4775,4775,4778,4776,4777,4774,4774,4774,4775,4775,4778,4776,4777,4774,4774,4773,4773,4776,4775,4777,4777,4775,4774,4773,4773,4773,4773,4777,4777,4777,4774,4773,4773,4773,4773,4773,4772,4776,4777,4774,4774,4773,4773,4773,4772,4772,4772
speed,set001-B3_223.txt,01,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
distance,set001-B3_223.txt,01,2972.49,2972.49,2972.49,2972.49,2975.0,2974.37,2973.74,2975.0,2976.89,2976.26,2973.12,2972.49,2973.12,2974.37,2973.12,2973.74,2975.63,2976.89,2976.26,2976.89,2973.12,2974.37,2973.12,2973.74,2975.63,2976.89,2976.26,2976.89,2976.89,2978.77,2974.37,2973.12,2975.0,2976.89,2976.26,2976.26,2977.51,2978.14,2978.14,2977.51,2973.74,2975.0,2976.89,2976.26,2976.26,2977.51,2978.77,2977.51,2978.14,2976.89,2975.63,2976.89,2976.26,2976.89,2976.89,2978.77,2977.51,2978.14,2976.26,2976.26,2976.26,2976.89,2976.89,2978.77,2977.51,2978.14,2976.26,2976.26,2975.63,2975.0,2977.51,2976.89,2978.14,2978.14,2976.89,2976.26,2975.63,2975.63,2975.0,2975.0,2978.14,2978.14,2978.14,2976.26,2975.63,2975.63,2975.0,2975.0,2975.0,2974.37,2977.51,2978.14,2976.26,2976.26,2975.63,2975.0,2975.0,2974.37,2974.37,2974.37
trough,set001-B4_189.txt,01,494,494,494,494,493,493,493,493,493,493,494,494,494,493,493,493,493,493,493,493,494,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
speed,set001-B4_189.txt,01,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
distance,set001-B4_189.txt,01,308.5,308.5,308.5,308.5,307.87,307.87,307.87,307.87,307.87,307.87,308.5,308.5,308.5,307.87,307.87,307.87,307.87,307.87,307.87,307.87,308.5,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87
trough,set001-B4_239.txt,01,8,8,8,11,8,9,8,8,8,7,8,10,8,8,9,8,8,8,7,7,11,8,8,8,8,8,8,7,7,7,8,9,8,8,8,7,7,7,7,7,8,8,8,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
speed,set001-B4_239.txt,01,0,0,0,2.69,0,3.93,0,0,0,0,0,2.06,0,0,3.7,0,0,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set001-B4_239.txt,01,1.26,1.26,1.26,3.14,1.26,1.88,1.26,1.26,1.26,1.26,1.26,2.51,1.26,1.26,1.88,1.26,1.26,1.26,1.26,1.26,3.14,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.88,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
trough,set001-B4_268.txt,01,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6056,6057,6056,6056,6056,6056,6056,6056,6056,6056,6057,6057,6056,6056,6056,6056,6056,6056,6057,6057,6056,6055,6056,6056,6056,6056,6056,6057,6057,6055,6055,6055,6056,6056,6056,6056,6057,6056,6055,6055,6055,6055,6056,6056,6057,6057,6055,6055,6055,6055,6055,6055,6057,6057,6056,6055,6055,6055,6055,6055,6055,6055,6057,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055,6055
speed,set001-B4_268.txt,01,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
distance,set001-B4_268.txt,01,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3804.36,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3804.36,3804.36,3803.73,3803.73,3803.73,3803.73,3803.73,3803.73,3804.36,3804.36,3803.73,3803.1,3803.73,3803.73,3803.73,3803.73,3803.73,3804.36,3804.36,3803.1,3803.1,3803.1,3803.73,3803.73,3803.73,3803.73,3804.36,3803.73,3803.1,3803.1,3803.1,3803.1,3803.73,3803.73,3804.36,3804.36,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3804.36,3804.36,3803.73,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3804.36,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1
