stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set001-A3_143.txt,01,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
speed,set001-A3_143.txt,01,0.55,0.65,0.65,0.65,0.69,0.65,0.65,0.69,0.69,0.69,0.65,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
distance,set001-A3_143.txt,01,16.34,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96
trough,set001-A4_179.txt,01,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
speed,set001-A4_179.txt,01,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35
distance,set001-A4_179.txt,01,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
trough,set001-A4_92.txt,01,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,67,68,68,68,67,67
speed,set001-A4_92.txt,01,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set001-A4_92.txt,01,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.33,38.95,38.95,38.95,38.33,38.33
trough,set001-B1_62.txt,01,21004,21004,21004,21004,21004,21004,21004,21004,21004,21003,21004,21004,21003,21003,21003,21004,21003,21003,21003,21000,21003,21003,21002,21000,20986
speed,set001-B1_62.txt,01,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
distance,set001-B1_62.txt,01,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13193.04,13192.42,13193.04,13193.04,13192.42,13192.42,13192.42,13193.04,13192.42,13192.42,13192.42,13190.53,13192.42,13192.42,13191.79,13190.53,13181.11
trough,set001-B3_202.txt,01,3708,3717,3723,3724,3733,3721,3724,3730,3736,3743,3728,3733,3742,3744,3760,3736,3743,3755,3774,3796,3746,3760,3789,3804,3853
speed,set001-B3_202.txt,01,0.27,0.3,0.33,0.33,0.37,0.32,0.33,0.35,0.38,0.41,0.35,0.37,0.4,0.42,0.48,0.38,0.41,0.46,0.54,0.63,0.42,0.48,0.59,0.66,0.85
distance,set001-B3_202.txt,01,2324.71,2330.36,2334.76,2336.02,2342.3,2333.51,2336.02,2339.79,2344.19,2348.59,2338.53,2341.67,2347.96,2349.21,2359.27,2344.19,2348.59,2356.13,2368.06,2381.89,2350.47,2359.27,2377.49,2386.91,2417.7
trough,set001-B3_223.txt,01,4769,4771,4771,4775,4775,4770,4775,4774,4777,4776,4775,4775,4778,4777,4774,4775,4777,4774,4773,4773,4777,4774,4773,4772,4772
speed,set001-B3_223.txt,01,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.23,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22
distance,set001-B3_223.txt,01,2972.49,2974.37,2973.74,2976.89,2976.89,2973.12,2976.89,2976.26,2978.14,2977.51,2976.89,2976.89,2978.77,2978.14,2976.26,2976.89,2978.14,2976.26,2975.63,2975.0,2978.14,2976.26,2975.0,2974.37,2974.37
trough,set001-B4_189.txt,01,494,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
speed,set001-B4_189.txt,01,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
distance,set001-B4_189.txt,01,308.5,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87,307.87
trough,set001-B4_239.txt,01,10,8,8,8,7,9,8,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
speed,set001-B4_239.txt,01,2.06,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set001-B4_239.txt,01,2.51,1.26,1.26,1.26,1.26,1.88,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
trough,set001-B4_268.txt,01,6056,6056,6056,6056,6057,6056,6056,6056,6057,6055,6056,6056,6056,6055,6055,6057,6055,6055,6055,6055,6055,6055,6055,6055,6055
speed,set001-B4_268.txt,01,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
distance,set001-B4_268.txt,01,3803.73,3803.73,3803.73,3803.73,3804.36,3803.73,3803.73,3803.73,3804.36,3803.1,3803.73,3803.73,3803.73,3803.1,3803.1,3804.36,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1,3803.1
